"module name","license","repository"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"cliui@7.0.4","ISC","https://github.com/yargs/cliui"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"escalade@3.1.1","MIT","https://github.com/lukeed/escalade"
"get-caller-file@2.0.5","ISC","https://github.com/stefanpenner/get-caller-file"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"lab01@1.0.0","MIT",""
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"require-directory@2.1.1","MIT","https://github.com/troygoode/node-require-directory"
"string-width@4.2.3","MIT","https://github.com/sindresorhus/string-width"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi"
"wrap-ansi@7.0.0","MIT","https://github.com/chalk/wrap-ansi"
"y18n@5.0.8","ISC","https://github.com/yargs/y18n"
"yargs-parser@21.0.1","ISC","https://github.com/yargs/yargs-parser"
"yargs@17.4.1","MIT","https://github.com/yargs/yargs"